"location","reference_date","horizon","target","target_end_date","output_type","output_type_id","value"
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.01",27.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.025",27.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.05",27.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.1",28.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.15",28.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.2",29.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.25",30
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.3",31
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.35",31.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.4",32.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.45",33
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.5",33.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.55",34.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.6",35
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.65",35.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.7",36
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.75",36.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.8",37.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.85",38
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.9",38
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.95",38.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.975",38.5
"01","2023-11-04",0,"wk inc flu hosp","2023-11-04","quantile","0.99",38.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.01",24
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.025",25
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.05",26
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.1",27.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.15",29
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.2",30
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.25",31
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.3",32
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.35",32.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.4",33.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.45",34.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.5",34.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.55",35.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.6",36
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.65",36.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.7",37.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.75",38.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.8",39.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.85",40.5
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.9",42
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.95",43
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.975",44
"01","2023-11-04",1,"wk inc flu hosp","2023-11-11","quantile","0.99",44.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.01",22.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.025",24
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.05",25.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.1",28
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.15",29.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.2",30.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.25",31.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.3",32.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.35",33.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.4",34
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.45",35
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.5",36
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.55",36.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.6",37.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.65",38.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.7",39
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.75",40.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.8",41.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.85",43
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.9",44.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.95",46.5
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.975",48
"01","2023-11-04",2,"wk inc flu hosp","2023-11-18","quantile","0.99",49.5
"01","2023-11-04",3,"wk inc flu hosp","2023-11-25","quantile","0.01",22
"01","2023-11-04",3,"wk inc flu hosp","2023-11-25","quantile","0.025",24
"01","2023-11-04",3,"wk inc flu hosp","2023-11-25","quantile","0.05",26
